Learning_outcome,Remember,Understand,Apply,Analyze,Evaluate,Create
Apply critical perspectives to contemporary issues in health and illness matters.,,,1,,,
Apply critical reasoning skills to philosophical and ethical arguments,,,1,,,
Apply critical reasoning skills to philosophical and metaphysical arguments;,,,1,,,
Apply critical skills to practical tasks in running festival events.,,,1,,,
apply critical theoretical and conceptual issues to specific examples of visual art and design curriculum practice.,,,1,,,
apply critical theoretical and conceptual issues to the evaluation of specific examples of visual art and design curriculum practice.,,,1,,,
Apply critical thinking and demonstrate written and oral communication skills in the field of computational mathematics.,,,1,,,
"apply critical thinking and problem solving skills to individual and/or group activities dealing with investments and portfolio management, and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFW3121.",,,1,,,
apply critical thinking and problem solving to activities dealing with accounting information systems.,,,1,,,
apply critical thinking and problem solving to individual and/or group activities dealing with corporate finance and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFW2140.,,,1,,,
Apply critical thinking and research skills to investigate primary and secondary sources.,,,1,,,
"Apply critical thinking approaches to current challenges in sustainable management of cultural and events products, and design appropriate solutions;",,,1,,,
Apply critical thinking approaches to evaluate solutions to current sustainable tourism challenges and design appropriate solutions;,,,1,,1,
Apply critical thinking in the field of advanced mathematics and its applications.,,,1,,,
Apply critical thinking in the field of advanced mathematics and/or its applications to other sciences.,,,1,,,
Apply critical thinking in the field of computational optimisation,,,1,,,
Apply critical thinking in the field of graph theory.,,,1,,,
Apply critical thinking in the field of operations research.,,,1,,,
Apply critical thinking skills in the integration of technological systems in urban design processes and outcomes;,,,1,,,
apply critical thinking skills to practical business issues,,,1,,,
apply critical thinking skills to practical cases in the field of strategic communications;,,,1,,,
Apply critical thinking to address problems in an interdisciplinary group setting.,,,1,,,
apply critical thinking to case-based analysis.,,,1,,,
Apply critical thinking to judge the validity of mathematical reasoning.,,,1,,,
"Apply critical thinking to problems in discrete-time stochastic processes in general, and in the theory of discrete-time martingales in particular.",,,1,,,
Apply critical thinking to problems in interest rate modelling.,,,1,,,
"Apply critical thinking to problems in Markov chains in general, and in the theory of random walks in particular.",,,1,,,
Apply critical thinking to problems in partial differential equations that relate to financial derivatives.,,,1,,,
Apply critical thinking to problems in statistical learning that relate to financial models.,,,1,,,
Apply critical thinking to problems in statistics and probability that relate to financial markets.,,,1,,,
Apply critical thinking to problems in stochastic calculus and financial mathematics.,,,1,,,
Apply critical thinking to theoretical problems in philosophy or historical studies and clearly synthesise and analyse key elements of those problems in writing.,,,1,1,,
"Apply critical thinking, analytical and problem-solving skills to scenarios that involve electrically and optically active materials.",,,1,,,
"apply critical thinking, problem solving and communication skills to analyse, evaluate and interpret business processes and the accounting data that is generated.",,,1,1,1,
"apply critical thinking, problem solving and communication skills to demonstrate a comprehensive understanding of the topics covered in ACW3220.",,,1,,,
"apply critical thinking, problem solving and communication skills to individual and/or group activities to demonstrate a comprehensive understanding of the topics covered in the unit",,,1,,,
"apply critical thinking, problem solving and communication skills to individual and/or group activities to demonstrate a comprehensive understanding of the topics covered in the unit.",,,1,,,
"apply critical thinking, problem solving and communication skills to resolve ethical dilemmas and professional issues faced by audit practitioners.",,,1,,,
"apply critical thinking, problem solving and presentation skills in dealing with advanced reporting issues and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by ACW3120.",,,1,,,
"apply critical thinking, problem solving and presentation skills in individual activities dealing with a research dissertation.",,,1,,,
"apply critical thinking, problem solving and presentation skills in individual and/or group activities dealing with a research dissertation.",,,1,,,
"apply critical thinking, problem solving and presentation skills in individual and/or group activities dealing with international accounting.",,,1,,,
"apply critical thinking, problem solving and presentation skills in individual and/or group activities dealing with international banking and finance.",,,1,,,
"apply critical thinking, problem solving and presentation skills in individual and/or group activities dealing with issues in asset pricing theories and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFX4004.",,,1,,,
"apply critical thinking, problem solving and presentation skills in individual and/or group activities dealing with issues in asset pricing theories and demonstrate in an individual summative assessment tasks the acquisition of a comprehensive understanding of the topics covered by BFX5004.",,,1,,,
"apply critical thinking, problem solving and presentation skills in individual and/or group activities dealing with issues in auditing and assurance and demonstrate in individual summative assessment tasks the acquisition of a comprehensive understanding of the topics covered by ACX4050.",,,1,,,
"apply critical thinking, problem solving and presentation skills in individual and/or group activities dealing with issues in banking and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFX4080.",,,1,,,
"apply critical thinking, problem solving and presentation skills in individual and/or group activities dealing with issues in corporate and bank policies",,,1,,,
"apply critical thinking, problem solving and presentation skills in individual and/or group activities dealing with issues in financial accounting research and demonstrate in individual summative assessment tasks, acquisition of a comprehensive understanding of the topics covered by ACX40",,,1,,,
"apply critical thinking, problem solving and presentation skills in individual and/or group activities dealing with issues in investment and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFX4120.",,,1,,,
"apply critical thinking, problem solving and presentation skills in individual and/or group activities dealing with issues in investment and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFX5005.",,,1,,,
"apply critical thinking, problem solving and presentation skills in individual and/or group activities dealing with issues in investment and demonstrate in individual summative assessment tasks the acquisition of a comprehensive understanding of the topics covered by BFX4005.",,,1,,,
"apply critical thinking, problem solving and presentation skills in individual and/or group activities dealing with issues in management accounting research.",,,1,,,
"apply critical thinking, problem solving and presentation skills in individual and/or group activities dealing with property investment and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFX3355.",,,1,,,
"apply critical thinking, problem solving and presentation skills in individual and/or group activities dealing with research skills and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFX4000.",,,1,,,
"apply critical thinking, problem solving and presentation skills in individual and/or group activities dealing with research skills and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFX5000.",,,1,,,
"apply critical thinking, problem solving and presentation skills in individual and/or group activities.",,,1,,,
"apply critical thinking, problem solving and presentation skills to activities dealing with corporate finance and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFS2780.",,,1,,,
"apply critical thinking, problem solving and presentation skills to deal with debt markets and fixed income securities and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFC3341.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual activities dealing with international financial management and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFF2341.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual activities dealing with international financial management and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFW2341.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and / or group activities dealing with accounting information systems and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by ACB2420.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and / or group activities dealing with accounting information systems and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by ACW2420.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and / or group activities dealing with auditing and assurance and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by ACW3620.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and / or group activities dealing with auditing and assurance and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by ACF5957.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and / or group activities dealing with corporate finance and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered in BFS3790.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and / or group activities dealing with corporate treasury management and demonstrate in both individual and group summative assessment tasks the acquisition of a comprehensive understanding of the topics covered by BFF5250.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and / or group activities dealing with investments and portfolio management and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFB3121.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and / or group activities dealing with management information and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by ACS3750.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with advanced corporate finance and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFC3140.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with advanced corporate finance and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFF3140.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with advanced modelling in finance and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered in BFC3540.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with advanced modelling in finance and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered in BFW3540.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with advanced modelling in finance and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFX4030.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with advanced strategic management accounting and demonstrate in an individual summative assessment task the acquisition of comprehensive understanding of the topics covered by ACF5100.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with auditing and demonstrate in an individual summative assessment ask the acquisition of a comprehensive understanding of the topics covered in ACS2760.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with auditing and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by ACS3770.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with behavioural finance and demonstrate in individual summative assessment tasks the acquisition of a comprehensive understanding of the topics covered in BFW3851.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with company reporting and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by ACW2120.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with corporate finance and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFC2140.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with corporate finance and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with corporate finance and demonstrate in an individual summative assessment task, the acquisition of a comprehensive understanding of the topics covered by BFB2140.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with corporate finance, and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFF2140.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with corporate law and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BTW2213.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with corporate treasury and credit management and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered in BFW3652.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with cost information for decision making and demonstrate in individual summative assessment tasks the acquisition of a comprehensive understanding of the topics covered by ACB2220.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with cost information for decision making and demonstrate in individual summative assessment tasks the acquisition of a comprehensive understanding of the topics covered by ACS2770.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with credit risk modelling and demonstrate in an individual summative assessment task the acquisition of comprehensive understanding of the topics covered by BFC5380.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with derivative instruments and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFC3340.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with derivative instruments and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFF5340.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with equities and investment analysis and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFC3241.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with equity markets",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with financial according and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by ACS3730.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with financial accounting and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by ACS1002.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with financial accounting and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by ACS2730.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with financial accounting and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by ACS2740.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with financial analysis and valuation.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with financial technology for financial institutions or business enterprises and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered in BFF5370.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with FinTech and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by this unit",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with forensic accounting and fraud examination and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by ACF5120.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with group statements and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by ACS3740.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with integrated systems for business enterprises and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by ACF5330.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with international banking and finance and demonstrate in an individual summative assessment task the acquisition of comprehensive understanding of the topics covered by BFC5916.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with international finance and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFC3240.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with international finance and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFF3231.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with international finance and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFF3331.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with introductory accounting and finance principles and demonstrate in individual summative assessment tasks the acquisition of a comprehensive understanding of the topics covered in ACS1000.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with investment banking.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with investments and portfolio management and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFF3121.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with Islamic banking and finance",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with issues in accounting information systems and demonstrate in an individual summative assessment tasks the acquisition of a comprehensive understanding of the topics covered by ACX4040.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with lending decisions and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFF3841.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with lending decisions and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFW3841.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with mergers and acquisitions and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered in BFF5580.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with modelling in finance and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered in BFC5936.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with modelling in finance and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered in BFF5255.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with principles of accounting and finance and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered in the unit.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with principles of accounting and finance and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered in BFS5959.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with taxation and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered in BTS2301.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with taxation and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered in BTS3302.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with taxation and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered in BTS3303.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with treasury and financial markets.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with treasury management and demonstrate in an individual summative assessment task the acquisition of a comprehensive understanding of the topics covered by BFF3651.",,,1,,,
"apply critical thinking, problem solving and presentation skills to individual and/or group activities dealing with treasury management and demonstrate in individual summative assessment tasks the acquisition of a comprehensive understanding of the topics covered by BFW3651.",,,1,,,
"apply critical thinking, problem solving, and communication skills to individual and/or group activities dealing with management control systems and demonstrate in an individual summative assessment task the acquisition of comprehensive understanding of the topics covered by ACF5080.",,,1,,,
"apply critical thinking, problem solving, and communication skills within audit and assurance topics.",,,1,,,
"apply critical thinking, problem solving, and communication skills within corporate financial reporting topics.",,,1,,,
"apply critical thinking, research, problem solving and written and oral communication skills to demonstrate the acquisition of a comprehensive understanding of the topics covered by this unit.",,,1,,,
"apply critical thinking, research, problem solving, and written and oral communication skills to demonstrate the acquisition of a comprehensive understanding of the topics covered by this unit.",,,1,,,
Apply critical understanding of methodologies in contemporary research as appropriate to your project;,,,1,,,
"Apply critical understanding of the forms, languages and conventions applicable to your field of research, including the critical approach to the identification and analysis of bibliographic and other empirical sources;",,,1,,,
"Apply cryptographic techniques to develop methods to disguise information to ensure its integrity, confidentiality and authenticity;",,,1,,,
Apply cryptographic techniques to disguise information;,,,1,,,
Apply cultural heritage frameworks in conducting their own research,,,1,,,
apply cultural norms of politeness in a limited range of communications situations;,,,1,,,
Apply current theories and practices in design management to design projects of varying complexity;,,,1,,,
Apply curriculum theories and design to the development of culturally inclusive programs in diverse settings for children,,,1,,,
"Apply cutting edge analysis methods using modern statistical software to analyse data, generate results, and interpret the findingsThemeslabel Research Methods",,,1,1,,
apply data visualisation techniques to describe business intelligence,,,1,,,
apply decision-making skills to indigenous issues affecting organisations.,,,1,,,
"Apply design features to various public health programs, including critically evaluating differing theoretical approaches to evaluation design.",,,1,,,
Apply Design for Manufacturing thinking and principles to practical design outcomes;,,,1,,,
Apply design processes and methods with an open attitude to inquiry and experimentation;,,,1,,,
"Apply design rules for the specification of static equipment such as process vessels and heat exchangers with application of inherent safety, hydraulic and operability considerations and mechanical integrity.",,,1,,,
Apply design strategies with increasing awareness and independence;,,,1,,,
"Apply Design Thinking methods and approaches to a project-based problem, to develop new perspectives on key issues and to identify potential opportunities;",,,1,,,
"Apply Design Thinking methods and mindsets to a project-based problem, to develop new perspectives on key issues and to identify potential opportunities;",,,1,,,
Apply designerly processes that result in the creation and communication of design research outcomes;,,,1,,,
Apply detailed device knowledge and small signal modelling to the analysis of electronic circuits.,,,1,,,
"Apply detailed knowledge of personality, biological processes and human development to abnormal behaviour contrasting historical and current major theoretical perspectives.",,,1,,,
"Apply developmental processes that synthesise observation, analysis, experimentation and critique within diverse modes of cultural practice;",,,1,,,1
"apply different approaches to Corporate Social Responsibility and different approaches to regulation to issues specific to marketing, HRM, environment and social accounting.",,,1,,,
Apply different aspects of the theory and practice of risk modelling for financial institutions.,,,1,,,
apply different cloud programming methods and tools;,,,1,,,
apply different counselling approaches which are cognisant of the counselling setting.,,,1,,,
"apply different ethical theories and approaches to corporate social responsibility including issues specific to the environment, human rights, marketing, human resources management and social accounting",,,1,,,
"apply different ethical theories to issues specific to human rights, environmental protection, marketing and advertising, human resource management and social accounting",,,1,,,
Apply different methodological approaches in international relations research;,,,1,,,
apply different methodologies to explore a research question/s;,,,1,,,
Apply different methodologies to problem solving,,,1,,,
Apply different statistical and geostatistical tools and techniques for evaluating the grade and tonnage of mineral resources.,,,1,,,
Apply different strategies to communicate fundamental principles of reproductive endocrinology,,,1,,,
"Apply different techniques such as K-map and Quine McCluskey, to minimise logic expressions and implement them using primitive logical gates.",,,1,,,
apply different techniques to evaluate trading costs,,,1,,1,
apply different theoretical approaches to the analysis of language using the relevant terminology;,,,1,,,
Apply differential equations and linear algebra to the modelling of real-world systems;,,,1,,,
Apply differentiation techniques to related rates of change problems and optimisation problems.,,,1,,,
Apply digital image and motion graphic editing techniques;,,,1,,,
"Apply digital imaging techniques towards the realisation of conceptualised, communicative works;",,,1,,,
apply digital literacy skills to create a digital story that critically reflects on the evolving languages of digital communication.,,,1,,,1
"Apply digital literacy to enter, analyse and interpret data (e.g., using appropriate statistical software).",,,1,1,,
"Apply digital media production techniques for a range of formats (i.e. information graphic motion graphic, digital graphic, web and mobile);",,,1,,,
"Apply dimensional analysis and modelling to plan experiments, present results meaningfully and predict prototype performance.",,,1,,1,1
"Apply discipline knowledge and interdisciplinary ""know-how"" to achieve specified outcomes;",,,1,,,
apply diverse counselling theories to the different settings in which counselling takes place,,,1,,,
Apply diverse forms of knowledge to address professional and design research projects;,,,1,,,
apply diverse theories of group dynamics and interpersonal roles in leading group counselling processes,,,1,,,
Apply diversity sampling methods in the field,,,1,,,
Apply duality theory to prove optimality of a solution;,,,1,,,
Apply earth pressure theories to design basic retaining walls.,,,1,,,
"apply econometric tools to modelling, estimation, inference, and forecasting in the context of real world economic and business problems",,,1,,,
apply economic analysis appropriate to achieving an understanding of the working of the macroeconomy,,,1,,,
apply economic principles to analyse the operation of labour markets critically,,,1,1,,
"apply economic principles to explain and analyse economic institutions, economic decisions and performance",,,1,1,,
"apply economic, industry and business analysis in the valuation process",,,1,,,
apply economics to real world problems.,,,1,,,
"Apply effective and professional leadership skills in complex, stressed and/or time-critical environments both in the team environment or working independently",,,1,,,
"Apply effective and strategic communication, problem-solving and organisational skills to operate successfully in both independent and collaborative ways in the workplace.",,,1,,,
"Apply effective communication skills to collaborate across academia, government and non-governmental and corporate organisations and negotiate diverse perspectives on biodiversity and ecosystems.",,,1,,,
"Apply effective communication skills to collaborate across academia, government and non-governmental and corporate organisations and negotiate diverse perspectives on relevant topics.",,,1,,,
Apply effective communication skills within the placement context.,,,1,,,
Apply effective practice skills for working with involuntary clients to different simulated criminal justice practice contexts.,,,1,,,
Apply effective project management skills and articulate an approach to the planning and implementation of a translation project involving a multilingual team of translators;,,,1,,,
"apply effective visualisation and modelling to understand relationships between variables, and make decisions with data",,,1,,,
apply effective visualisation tools to explore relationships between variables,,,1,,,
"Apply effective written and verbal engagement skills with clients, staff, and/or relevant stakeholders;",,,1,,,
Apply electronic and mechanical principles in design projects;,,,1,,,
Apply elements of intercultural theory for conflict negotiation and crisis resolution,,,1,,,
"Apply elements of intercultural theory in the critical analysis of a variety of texts in order to understand how cultures are expressed, negotiated and intersect;",,,1,,,
apply empirical methods to test the accuracy and relevance of various economic models,,,1,,,
"apply empirical methods to test the predictions of economic theories and evaluate the effectiveness of economic, public, and social programs",,,1,,1,
Apply empirically supported positive psychology practices to your personal life and critically reflect on personal benefits and challenges.,,,1,,,
Apply energy and momentum methods to analyse motion of systems,,,1,1,,
Apply engineering design principles and critical thinking skills to plan and design a solution to an identified process engineering problem.,,,1,,,
apply engineering design techniques to solve aerospace engineering problems,,,1,,,
Apply engineering design techniques to solve engineering problems.,,,1,,,
Apply engineering fundamentals to design a mechatronics system.,,,1,,,
"Apply engineering knowledge and judgement in experimental design, including the design and commissioning of experimental equipment",,,1,,,
"Apply engineering knowledge and skills (information technology, operations technology and Internet-of-things) to synthesise cyber-physical systems.",,,1,,,1
Apply engineering synthesis and design processes in a business and information technology environment;,,,1,,,
Apply entrepreneurial and innovative approaches to commercialising research;,,,1,,,
"apply entrepreneurial, financial, managerial, and marketing functions in an organisation with Islamic principles and societal expectations in mind",,,1,,,
"Apply epidemiology, medical and nutritional principles in the nutritional assessment and management of chronic lifestyle related diseases conditions;",,,1,,,
"Apply epidemiology, medical and nutritional principles in the nutritional assessment and management of chronic lifestyle related diseases.",,,1,,,
"Apply essential clinical ethical understanding to end-of-life decisions, responsibilities under the Mental Health Act in patient care, duty of care and duty to warn and testamentary capacity.",,,1,,,
Apply essential clinical practice skills of mental state examination and the psychiatric interview to a standard required for psychiatrists in training in mental health settings.,,,1,,,
apply established methodologies to the analysis of specific examples of metaphor and metonymy,,,1,,,
Apply estimation and calibration solving skills within the finance context.,,,1,,,
Apply ethical approaches and the law of professional responsibility to generate appropriate jurisprudential and practical decision-making and conduct in lawyering;,,,1,,,
"apply ethical communication, counselling, negotiation and mediation techniques to a variety of conflict situations",,,1,,,
Apply ethical considerations in quality assurance and evaluation activities to a community partnership project.,,,1,1,,
apply ethical principles to field practice,,,1,,,
Apply ethical principles to generate possible solutions to ethical dilemmas.,,,1,,,1
Apply ethical standards and sustainability principles in solving engineering problems,,,1,,,
Apply evidence based clinical reasoning to devise a client-centred problem list;,,,1,,,1
"Apply evidence based educational practices to plan, design and develop an education program",,,1,,,1
Apply evidence based inquiry principles developed in second year to an advanced radiographic practice clinical issue.,,,1,,,
"Apply evidence based strategies in the prediction, detection and control of infectious disease outbreaks;",,,1,,,
Apply evidence from experimental and clinical observations to generate knowledge of physiological principles;,,,1,,,1
Apply evidence summaries and clinical practice guidelines to the review and implementation of complex health care interventions;,,,,,,1
"Apply evidence-based diagnostic, therapeutic and preventative techniques associated with caring for patients with complex health-care needs.",,,1,,,
"Apply evidence-based educational practices to plan, design and implement an education session for health care practitioners.",,,1,,,
Apply evidence-based nutrition practice in a workplace setting.,,,1,,,
Apply evidence-based practice (EBP) to radiographic practice and identify how a range of research methods and the critique of reported research benefits medical radiation sciences;,,,1,,,
Apply evidence-based practice in patient care.,,,1,,,
Apply evidence-based principles to the practice of pharmacy through inquiry and research.,,,1,,,
"Apply evolutionary algorithms to devise novel agents and understand their application, and that of other search algorithms, to problems requiring the search of a solution space;",,,1,,,
Apply existing materials and technologies in new contexts and interdisciplinary aesthetic languages;,,,1,,,
Apply experimental and computer-based control techniques.,,,1,,,
Apply experimental techniques and methodologies to determine the structure and function of an unknown protein.,,,1,,,
Apply expert differential geometric techniques to solve problems that arise in pure and applied mathematics.,,,1,,,
Apply extended skills in diagnostic reasoning to speciality nurse practitioner practice,,,1,,,
"Apply feedback, stability and dominant pole compensation to operational amplifier structures.",,,1,,,
Apply field theory to coding and cryptography; understand the classification of cyclic codes.,,1,1,,,
Apply film and television studies methodologies in order to compare and analyse different documentary or realist forms,,,1,1,1,
"Apply film, television and screen studies approaches to the analysis of selected moving image texts;",,,1,,,
"apply financial accounting principles in the preparation of key financial statements incorporating the balance sheet, the income statement and the statement of cash flows",,,1,,,
apply financial and management accounting principles in the interpretation of financial statements,,,1,,,
apply financial and management accounting principles in the preparation of financial statements,,,1,,,
apply financial knowledge and skills to identify and implement appropriate strategies to manage key corporate treasury and credit risks,,,1,,,
"Apply finite element and meshless methods to practical problems in structural, soil and rock mechanics.",,,1,,,
Apply food chemical concepts to industry-related issues;,,,1,,,
Apply forensic toxicology to case work for the purpose of report preparation and presentation to courts.,,,1,,,
